NAMA DESA,NAMA KABUPATEN,profil_desa
Desa Wisata Pucungrejo,Magelang Kabupaten,"     Telur asin, Yangko, Peyek kacang, dan
Gethuk
 Pahat batu, Pembuatan Pot ban Koncong, Jatilan, Orkes
dangdut, Kesenian Campur, Kubrosiswo
 "
Desa Wisata Borobudur,Magelang Kabupaten,"Candi Borobudur     Penghasil Madu erajinan mebel, Kerajinan souveis/miniature, Kerajinan bamboo souvenir Jatilan, Gatolonco "
Desa Wisata Giripurno,Magelang Kabupaten,"Curug watu ploso pasuruan     Pembuatan getuk talas, rengginang, rambak  Jatilan, rebana, ketoprak, Ande-ande lumut, Lengger Desa Giripurno adalah salah satu desa yang terletak di Kecamatan Borobudur Kabupaten Magelang. Memiliki luas wilayah 3,62 km2, terdiri dari 6 dusun, 8 RW dan 25 RT. Desa Giripurno memiliki kemiringan lereng yang curam yaitu
>25 derajat dengan ketinggian 501-700 DPL. Desa Giripurno berbatasan dengan Desa Ngadiharjo di sebelah utara, Desa Giritengah di sebelah barat, Desa Ngargoretno Kecamatan Salaman sebelah timur, dan sebelah selatannya adalah Provinsi DIY.
"
Desa Wisata Giritengah,Magelang Kabupaten,"Posmati, Sukmojoyo Hill, Punthuk Mongkrok, Gupakan, Sendang Suro, Punthuk Kendil Omah Saking Dhene, Turonggoseto, Cungkir Panaragan,
Karawitan, Ketoprak, Gatuloco
    Pembuatan makanan Khas berupa Gethuk, Penghasil Madu
 Topeng Kayu, Anyaman Bambu, Batik Onggosoro Omah Saking Dhene, Turonggoseto, Cungkir Panaragan,
Karawitan, Ketoprak, Gatuloco
 Desa Giritengah terletak di ujung selatan Kecamatan Borobudur, berjarak sekitar 5 km ke arah barat daya dari Candi Borobudur. Berlatar belakang Perbukitan Menoreh dan didukung oleh kondisi alamnya yang masih alami, Desa Giritengah memiliki pemandangan alam yang indah mempesona. Desa Giri Tengah Memiliki luas wilayah 4,32 Km2 , terdiri atas 6 Dusun, 11 RW, dan 37 RT. Desa Ngargogondo memiliki kemiringan lahan yang curam yaitu > 25 derajat dengan ketinggian 501-700 mdpl. "
Desa Wisata Karanganyar,Magelang Kabupaten,"      Kerajinan Gerabah, sablon Kesenian Topeng Ireng dan Kubro siswo Desa Karanganyar adalah salah satu desa yang terletak di Kecamatan Borobudur, Magelang. Memiliki luas wilayah 1,57 Km2 , terdiri atas 4 Dusun, 4 RW, dan 12 RT. Desa Karanganyar memiliki kemiringan lahan yang landai yaitu < 15 derajat dengan ketinggian 300 - 500 mdpl. Desa Karanganyar berbatasan dengan : Desa Tanjungsari(Timur), Desa Giritengah(Selatan), Desa Ngadiharjo(Barat), Desa Karangrejo(Utara). Desa Karanganyar terletak ± 2.5 km sebelah barat daya dari Candi Borobudur dilembah bukit Menoreh tepatnya disebelah utara berbatasan dengan Desa Giritengah. Dan jauh sebelum ada program DesaWisata, Desa Karanganyar sudah menjadi tujuan banyak wisatawan terutama dari mancanegara untuk melihat pemandangan dan mengambil foto candi Borobudur saat terbit (sunrise) diantara gunung Merapi dan Merbabu dan juga untuk melihat langsung cara pembuatan gerabah tradisional didusun Banjaran I/Klipoh."
Desa Wisata Karangrejo,Magelang Kabupaten,"“Punthuk Setumbu”, Bukit Barede, BALKONDES Kubro Siswo, seni wayang orang (Pethilan)    gethuk, Keripik bayam kerajinan gerabah, seni
ukir bambu, lukisan dari kain perca
  Desa Karangrejo terletak di Kecamatan Borobudur, Magelang, Jawa Tengah. Desa Karangrejo secara administratif adalah wilayah Kecamatan Borobudur Kabupaten Magelang yang terletak di bagian selatan Ibu Kota Kabupaten Magelang (Kota Mungkid) berjarak 4 km."
Desa Wisata Kebonsari,Magelang Kabupaten," Nyadran    ceriping (ketela, talas, kimpul), peyek (tempe, kacang), mbanggoyang souvenir dari bambu, kerajinan pembuatan tampah, irig, sablon
kaos/konveksi.
 tari Topeng Ireng Desa Kebonsari dikenal juga sebagai salah satu desa wisata kerajinan, karena kaya akan potensi sumber daya alam dan sumber daya manusia. Potensi  sumber daya alam yang ada di Desa Kebonsari adalah pohon bambu. Kemudian yang menjadi potensi sumber daya manusia adalah kearifan lokal masyarakat Desa Kebonsari, dan adanya kesenian tradisional yang masih aktif melaksanakan kegiatannya."
Desa Wisata Ngargogondo,Magelang Kabupaten," makam Mbah Kyai Kunci  Desa Bahasa  Slondok  Kesenian Topeng Ireng, Kesenian
Karawitan Desa Ngargogondo merupakan desa yang terletak di Kecamatan Borobudur, Magelang. Desa Ngargogondo Memiliki luas wilayah 1,53 Km2 , terdiri atas 6 Dusun, 3 RW, dan 11 RT. Desa Ngargogondo memiliki kemiringan lahan yang Landai yaitu < 15 derajat dengan ketinggian < 300 mdpl. Desa Ngargogondo memiliki batas wilayah sebagai berikut : Desa Wanurejo (utara), Desa Candirejo (timur), Desa Majaksingi (selatan), Desa Tuksongo (Barat). Desa Ngargogondo yang dekat dengan obyek wisata dunia Candi Borobudur, mempunyai berbagai potensi baik alam maupun SDM-nya, dari SDM tersebut yang menonjol adalah tingginya minat baca dan minat belajar bahasa asing."
Desa Wisata Tanjungsari,Magelang Kabupaten,"        Desa Tanjungsari adalah salah satu desa yang terletak di Kecamatan Borobudur Kabupaten Magelang. Memiliki luas wilayah 0,65 km2, terdiri dari 2 dusun, 7 RW dan 8 RT. Desa Tanjungsari memiliki kemiringan lereng yang landai yaitu
<15 derajat dengan ketinggian 300-500 DPL. Desa Tanjungsari berbatasan dengan Desa Borobudur di sebelah utara, Desa Tuksongo di sebelah barat, Desa Karanganyar sebelah timur, dan sebelah selatannya adalah Desa Giritengah.
"
Desa Wisata Tuksongo,Magelang Kabupaten," Kuda lumping, rebana, karawitan, watu adeg  rumah watu apel     Desa Tuksongo adalah salah satu desa yang terletak di Kecamatan Borobudur Kabupaten Magelang. Memiliki luas wilayah 2,92 km2, terdiri dari 7 dusun, 6 RW dan 20 RT. Desa Tuksongo memiliki kemiringan lereng yang landai yaitu
<15 derajat dengan ketinggian 300-500 DPL. Desa Tuksongo berbatasan dengan Desa Borobudur di sebelah utara, Desa Wanurojo, Ngargogondo, dan Majaksingi di sebelah barat, Desa Tanjungsari sebelah timur, dan sebelah selatannya adalah Desa Giritengah
"
Desa Wisata Wringinputih,Magelang Kabupaten," Topeng ireng, Sholawat Pitutur, Kethoprak, Wayang kulit, Karawitan, Kuda lumping,
Kesenian angklung
    Ceriping ketela, Gethuk manis,
Bajingan tela manis
 Kerajinan anyaman keranjang buah, Batik, Pembuatan Mainan Anak2, Pembuatan Parut, Angklung Topeng ireng, Sholawat Pitutur, Kethoprak, Wayang kulit, Karawitan, Kuda lumping,
Kesenian angklung
 Desa Wringinputih merupakan desa yang berada di Kecamatan Borobudur dengan luas wilayah 377 Ha. Desa ini terluas kedua setelah Borobudur dan memiliki dibidang pertanian dan peternakan yaitu kebon pepaya dan kambing ternak."
Desa Wisata Sambeng,Magelang Kabupaten," Makam Syekh Akhmad Abdul Malik     Pembuatan irah-irahan, pembuatan kendang, pembuatan keranjang sayur, berkebun, bertani, dan berternak Jatilan, Rebana, Warokan, Watu Gudig Desa Sambeng adalah salah satu desa yang terletak di Kecamatan Borobudur, Magelang. Memiliki luas wilayah 1,40 km2, terdiri dari 6 dusun, 6 RW dan 13 RT. Desa Sambeng memiliki kemiringan lereng yang sedang yaitu 15-25 derajat dengan ketinggian 300-500 DPL. Desa Sambeng berbatasan dengan Desa Candirejo di sebelah utara, Kecamatan Ngluwar di sebelah barat, Desa Candirejo sebelah timur, dan sebelah selatannya adalah Desa Bigaran."
Desa Wisata Bigaran,Magelang Kabupaten," Makam Mbah Gombloh, Makam Mbah Ronggosatoto, makam Mbah Soero Doeto    pembuatan Gula Merah, Slondok, rengginang  Kesenian Topeng Ireng, Seni Musik Angklung, Seni
Musik Religi Berupa Rebana
 Desa Bigaran adalah salah satu desa yang terletak di Kecamatan Borobudur, Magelang. Memiliki luas wilayah 1,96 Km2 , terdiri atas 6 Dusun, 2 RW, dan 11 RT. Desa Bigaran memiliki kemiringan lahan yang sedang yaitu -25 derajat dengan ketinggian < 300 mdpl. Desa bigaran memiliki batas wilayah sebagai berikut : Desa Sambeng (Utara), desa Kenalan (Barat), D.I Yogyakarta (Timur dan Selatan)."
Desa Wisata Kenalan,Magelang Kabupaten," Kobrosiswo, Karawitan    Pembuatan Wajik, Jenang,
Gethuk, Kimpul
 Kerajinan anyaman bambu Kobrosiswo, Karawitan Kenalan adalah salah satu desa yang terletak di Kecamatan Borobudur, Magelang. Memiliki luas wilayah 2,42 km2, terdiri dari 2 dusun, 4 RW dan 14 RT. Desa Kenalan memiliki kemiringan lereng yang curam yaitu >25 derajat dengan ketinggian 300-500 DPL. Desa Kenalan berbatasan dengan Desa Candirejo di sebelah utara, Desa Bigaran di sebelah barat, Majaksingi sebelah timur, dan sebelah selatannya adalah Provinsi DIY."
Desa Wisata Majaksingi,Magelang Kabupaten," Dayakan, Jatilan, Punthuk Gajahmungkur, Rumah Kamera    Sangkar Burung, Topeng, Kerajinan Batik Dayakan, Jatilan, Punthuk Gajahmungkur Desa Majaksingi adalah salah satu desa yang terletak di Kecamatan Borobudur, Magelang. Memiliki luas wilayah 4,70 km2, terdiri dari 12 dusun, 12 RW dan 29 RT. Desa Majaksingi memiliki kemiringan lereng yang curam yaitu >25 derajat dengan ketinggian 300-500 DPL. Desa Majaksingi berbatasan dengan Desa Tuksongo di sebelah utara, Desa Ngargogondo dan Kenalan di sebelah barat, Desa Giritengah sebelah timur, dan sebelah selatannya adalah Provinsi DIY."
Desa Wisata Ngadiharjo,Magelang Kabupaten,"Karang Duwet dan Ki Bomo Sekti     Geblek, jet cooled, keripik gadung
serta pembuatan gula jawa
 batu bata, Pengrajin Ukir bambu, keranjang, kepang, tenggok, sangkar burung Topeng Kawedal, dayakan, Kesenian Jathilan Desa Ngadiharjo merupakan desa yang berada pada Kecamatan Borobudur, Kabupaten Magelang, Provinsi Jawa Tengah. Desa ini terletak di sebelah barat Candi Borobudur yang merupakan salah satu objek wisata yang cukup terkenal di seluruh dunia. Desa Ngadiharjo berada di bagian barat Kecamatan Borobudur. Berada di 110°17’30 BT dan 7°24’15 LS. Desa ini berbatasan dengan Desa Kembanglimus(utara), Desa Giritengah(timur), Desa Giripurno(selatan), Desa Karanganyar (Barat).Desa ini terdiri dari 12 dusun, 12 RW dan 42 RT. Kebanyakan lahan di desa ini dijadikan lahan pertanian dan peternakan. Desa Ngadiharjo berada di dataran rendah tetapi tidak jauh dengan kawasan perbukitan. Penduduk desa yang terdata kurang lebih sebanyak 4900 penduduk. Mayoritas penduduk beragama Islam, maka dari itu kegiatan yang paling sering diadakan adalah Pengajian, Slapanan, Saparan, dan lain lain."
Desa Wisata Bumiharjo,Magelang Kabupaten," Kesenian Kubro Siswo  Desa Bumiharjo   jenang dari bahan papaya, pembuatan gula jawa kerajinan bambu ukir dalam bentuk kaligrafi,dll, anyaman bamboo, pembatan
keranjang tembakau.
  Desa Bumiharjo pada mulanya hanyalah terdiri dari dua buah kampung, yang bernama Dusun Sigug dan Dusun Sodongan. Sebelum bangsa Indonesia Merdeka kedua kampung tersebut digabung dengan Nama BUMIHARJO. Menurut para sesepuh kata Bumiharjo bersal dari dua buah kata, yaitu BUMI dan HARJO. Kata Bumi yang berarti Tanah tempat tinggal. Dan Harjo adalah makmur. yang berarti tanah tempat tinggal yang subur makmur. Jadi kata Bumiharjo adalah tanah tempat tinggal yang subur makmur, Gemah ripah Lohjinawi. Yaitu suatu tanah tempat tinggal yang mampu untuk bertahan hidup para Cikal Bakal penduduk Desa Bumiharjo tempo dulu. Dari kata Bumi dan Harjo, yang sampai sekarang kata bumiharjo menjadi nama desa , yaitu DESA BUMIHARJO. Yang mana tanah tempat tinggal tersebut mampu menghidupi masyarakatnya hingga sekarang. Penduduk Desa Bumiharjo sebagian besar bercocok tanam palawija dan padi / bertani"
Desa Wisata Tegalarum,Magelang Kabupaten,"        Desa Tegalarum merupakan salah satu desa yang berada di Kecamatan Borobudur dengan luas wilayah 184.66 Ha. Masyarakat bermata pencaharian sebagian besar petani, dan perajin batu-bata."
Desa Wisata Kembanglimus,Magelang Kabupaten,"Gereja ayam, cempuris, Tubing  Rumah makan beong     seni topeng ireng Desa Kembanglimus adalah salah satu desa yang terletak di Kecamatan Borobudur, Magelang. Memiliki luas wilayah 2,92 km2, terdiri dari 7 dusun, 7 RW dan 14 RT. Desa Kembanglimus memiliki kemiringan lereng yang landai yaitu <15 derajat dengan ketinggian <300 DPL. Desa Kembanglimus berbatasan dengan Kecamatan Tempuran di sebelah utara, Desa Wringinputih di sebelah barat, Desa Tegalarum dan Kebonsari sebelah timur, dan sebelah selatannya adalah Desa Karangrejo."
Desa Wisata Mendut,Magelang Kabupaten,"Candi Mendut ritual keagamaan upacara waisak  wisata rafting, taman rekreasi Mendut,
Taman anggrek, Vihara.
  bolu ketan, wajik, jenang, sat6e, mangut
beong
  Kubro Siswo, seni terbangan islam Mendut adalah kelurahan di kecamatan Mungkid, Mungkid, Kabuoaten Magelang, jawa Tengah. Kelurahan Mendut merupakan kelurahan pembentuk Mungkid (ibukota Kabupaten Magelang) dan menjadi pusat wisata kuliner dan rafting dari Mungkid. Bnyak dijumpai aneka wista kuliner di jalan Mayor Kusen Mungkid, dari aneka jenis makaan khas jawa hingga makanan modern lainnya. Di daerah Mendut juga banyak dijumpai wisata rafting yang tidak kalah terkenal dengan kulinernya. Daerah ini juga memiliki sebuah vihara yang cukup terkenal dan dibanggakan oleh penduduk lokal. Vihara ini digunakan sebagai salah satu pusat kegiatan keagamaan di Mendut. Candi Mendut yang merupakan mascot dari Mungkid terletak di Jalan Utama Mayor Kusen.
Luas wilayah kelurahan Mendut yaitu 145 Hektare, jumlah penduduknya ssebanyak ±3600 jiwa, dan jumlah KK 1.100 KK. Kelurahan Mendut terdiri dari 7 lingkungan yaitu: Lingkungan Cabean, Mendut I, Mendut II, Mendut III, Bojong I, Bojong II, Sikepan.
"
Desa Wisata Jamuskauman,Magelang Kabupaten," Kobrosiswo, Karawitan    Pembuatan Wajik, Jenang,
Gethuk, Kimpul
 Kerajinan anyaman bambu  Desa Jamunkauman merupakan desa yang terletak di Kecamatan Ngluwar dengan luas wilayah 248.09 Ha. Di Desa Jamuskauman memiliki konsep desa wisata dengan memberdayakan potensi yang ada di masyarakat khusunya potensi ekonomi dan wisata desa."
Desa Wisata Sukorejo,Magelang Kabupaten," jathilan  Kolam renang dan pemandian Gending mata air   kerajinan topeng kertas, keranjang belanja Jathilan Desa/Kelurahan Sukorejo terletak di Kecamatan Mertoyudan, Kabupaten Magelang dari Propinsi Jawa Tengah. Secara administratif Desa/Kelurahan Sukorejo mempunyai luas wilayah 240.435 ha yang terdiri dalam  10 dusun  dan 1 perumahan"
Desa Wisata Ngrancah,Magelang Kabupaten,"Wisata alam hutan lindung       kesenian reog, kesenian topeng ireng Desa Wisata Ngrancah merupakan suatu desa yang terletak di Kecamatan Grabag , Kabupaten Magelang Jawa Tengah. Desa wisata Ngrancah memiliki luas ± 222,88 Ha dengan kondisi lingkungan pedesaan yang asri dan memiliki iklim sejuk."
Desa Wisata Banyusari,Magelang Kabupaten," Kesenian Tari Soreng dan Rebana     Pembuatan Relief Kaligrafi, Holtikultura Cabai dan palawija Kesenian Tari Soreng dan Rebana Desa Banyusari merupakan salah satu desa yang berada di Kecamatan Grabag, Magelang. Memiliki luas wilayah 5,15 Km2 , terdiri atas 13 Dusun, 17 RW, dan 41 RT. Desa Banyusari memiliki batas wilayah sebagai berikut : Desa Grabag(Timur), Kecamatan Secang(Selatan), Desa Kalikuto(Barat), Desa Kartoharjo(Utara)."
Desa Wisata Girikulon,Magelang Kabupaten," Kesenian Rebana, jathilan     kerajinan anyaman bambu;
pembuatan bata merah
 Kesenian Rebana, jathilan Girikulon adalah salah satu desa yang ada di kecamatan Secang. Desa ini berbatasan langsung dengan kecamatan Grabag. Giri Kulon terdiri dari beberapa dusun yaitu Giri Jembangan, Tanggulangin, Tempuran, Giri Kluwih, Pelikon, Piyamanan dan Kuwarakan.Mata penacaharian penduduk di desa ini sebagian besar adalah bertani cabe dan padi merupakan produk unggulan desa ini, ada juga yg beternak ayam, pedagang dan sebagian kecil lainnya adalah Pegawai Negeri Sipil (guru)."
Desa Wisata Ngargoretno,Magelang Kabupaten,"Puncak kukusan, kebun the Kuda lumping, Bangilun, Ketoprak, Gatoloco, Oblegowor, Rebana,  Museum alam marmer  pembuatan
slondok, kripik rembang Pengrajin kayu  Desa Ngargoretno adalah salah satu desa yang terletak di Kecamatan Salaman, Magelang. Memiliki luas wilayah 6,18 km2, terdiri dari 6 dusun, 9 RW dan 24 RT. Desa Ngargoretno berbatasan dengan Desa Paripurno di sebelah utara, Kecamatan Borobudur di sebelah barat, Desa Kalirejo sebelah timur, dan sebelah selatannya adalah Provinsi DIY."
Desa Wisata Banyusari,Magelang Kabupaten, Kesenian jatilan  sumber mata air    Jathilan 
Desa Wisata Ngawen,Magelang Kabupaten,"Candi ngawen Tubing Petilasan sendang manis  Outbon, Waterboom mini Rumah Joglo  Wajik, Jumunak, Kelepon, Telur
asin, Jenang, Dodol
 tangkai cangkul(Doran), Merangkai bunga melati  "
senden,Magelang Kabupaten,        
adipuro,Magelang Kabupaten,        
Desa Wisata Bawang,Magelang Kabupaten,"Wisata alam gunung payung,
Wisata panorama puthuk mangir
      Kerajinan sangkar burung Kesenian rebana "
Desa Wisata Sambak,Magelang Kabupaten,"""Sambak Funventure”, Embung Sambak   Argo Wana Wisata Cupu Mas   home industri kripik
ketela, tahu, gula merah, geplek
  "
DESA WISATA KARANGANYAR,Magelang Kabupaten,"Borobudur Sunrise   Wisata Edukasi Proses Pembuatan Gerabah  Tahu Ngadiwinatan Pusat Kerajinan Gerabah, Kerajinan Ukir dan Anyaman Bambu, Kerajinan Bronjong (Saringan Tahu Tradisional) Topeng Ireng Desa Wisata Karanganyar menawarkan wisata kerajinan gerabah,anyam serta ukir bambu.Selain wisata kerajinan Karanganyar juga menawarkan Borobudur Sunrise yang menawan.Desa yang terletak 3 kilo meter dari Candi Borobudur ini lebih asyik ditelusuri dengan menggunakan transportasi tradisional sepeda ontel atau andong sambil menikmati suasana alam pedesaan yang asri, melihat indahnya hamparan pertanian dan aktifitas penduduk yang sedang bercocok tanam. Belajar membuat gerabah secara tradisional di Dusun Nglipoh menjadi pengalaman tak terlupakan.Berbagai bentuk cindera mata dari tanah liat yang Anda buat bisa menjadi oleh – oleh bagi keluarga dan sahabat.Selain belajar membuat gerabah pengalaman membuat anyaman bamboo dan ukir bambu di Dusun Ngadiwinatan II menjadi alternatif lain ketika berkunjung di Desa Wisata Karanganyar.Bila Anda berkunjung di kala fajar hendak menyingsing coba untuk mampir sekitar 500 meter dari Balai Desa Karanganyar tepatnya pinggir persawahan Dusun Ngadiwinatan II, disini menjadi spot untuk menikmati Borobudur Sunrise yang menawan.Jangan lupa untuk mampir di Galeri Komunitas yang memamerkan berbagai hasil produksi kerajinan, makanan khas dari masyarakat Borobudur."
Tidar campur,Magelang Kota," Nyadran, Merti Desa, Grebeg Tahu, Pagelaran Wayang Kulit  wisata edukasi Bank Sampah Soya Mekar, Kampung Organik Soya Mekar  Keripik tahu souvernir dari barang bekas Topeng ireng Bahwa nama Tidar tidak dapat dipisahkan dengan Prasasti Mantiasih yang konon pada saat itu masyarakat di Mantiasih pada jaman Ratu Dyah Balitung mengadakan pemujaan sesaji/persembahan di suatu dataran tinggi ( tanah yang tinggi ) dengan berbagai macam-macam makanan dan selanjutnya disitu dijadikan tempat untuk menyajikan bermacam-macam makanan, untuk membawa keatas makanan atau dedaharan menggunakan tempat dari peti kayu, sehingga disebut PETI DAHAR sehingga Peti Dahar tersebut seiring dengan berjalannya waktu yang sangat lama kemudian disebut T I D A R."
Rintisan Desa Wisata Jimbaran,Pati,"Alam  Buatan   Nasi Urap Batu Akik  Desa Jimbaran  memiliki DTW eksotik berupa gua yaitu Gua Pancur yang merupakan unggulan wisata Kabupaten Pati yang  panjangnya 736 meter jarak dari mulut gua. Ada sumber air panas didalamnya dan dihiasi stalakmit yang indah dengan debit air di dalam gua kurang lebih 40 liter/detik. Wahana wisata meliputi : susur gua, tracking, bumi perkemahan, outbond, terapi ikan dan wisata air berupa permainan bebek air. "
Rintisan Desa Wisata Sitiluhur,Pati,"Alam  Buatan   Ikan Wader Kering   Waduk Gunungrowo merupakan salah satu obyek wisata unggulan yang ada di Kabupaten Pati. Nama Gunungrowo konon bermula ketika Laksamana Cheng Ho mengunjungi Sunan Muria. Setiba dilokasi, kedua tokoh tersebut memiliki persepsi berbeda dalam melihat Gunungrowo. Sunan Muria mengatakan bahwa tempat tersebut adalah gunung, sedangkan Laksamana Cheng Ho mengatakan bahwa tempat itu adalah rawa. Guna mengakhiri perbedaan pendapat, akhirnya mereka sepakat menamakan tempat tersebut dengan sebutan Gunungrowo yang berasal dari gabungan kata gunung dan rowo."
Desa Wisata Talun,Pati,  Buatan  lomba mancing Ikan Bakar Bandeng Tawar    Desa Wisata Talun berada di selatan Kabupaten Pati adalah sebagai tempat pemancingan yang sangat luas  di mana banyak kelompok mancing mania suka datang di lokasi tersebut untuk melakukan aktifitas dan menyalurkan hobinya. Ratusan hektar kolam air tawar dengan ikan bandeng siap memanjakan para wisatawan yang datang ke lokasi.
Rintisan Desa Wisata Duren Sawit,Pati,"Alam  Buatan     Tari Meliwis Deswita Duren Sawit merupakan gabungan wisata alam dan buatan yang didalamnya akan kita temui rumah pohon, photo spot untuk kegiatan swa photo. Bukit Pandang Ki Santa Mulya terletak di Desa Duren Sawit Kec. Kayen sangat cocok untuk wahana flying fox, bumi perkemahan dan tracking."
Rintisan Desa Wisata Gunungsari,Pati,"Alam budaya   lamporan Sayur Pakis Lampu Hias Bambu dan Rantang dari Lidi Aren  Pesona Gunungsari berada di Desa Gunungsari Kec. Tlogowungu berada di bawah kaki Gunung Muria bagian timur dengan jarak tempuh dari pusat kota kurang lebih 25 km. Pesona Hutan Pinus Pangonan, Air Terjun Toyo Manik dan Air Terjun Jenar merupakan andalan wisata di desa tersebut yang masih asri dan asli. Tanaman kopi, buah langsep, manggis, kopi lanang dan kopi deplok banyak ditemui di Desa Gunungsari.  "
Rintisan Desa Wisata Bageng,Pati,Alam     Jeruk Pamelo dan Kopi  Akar Kopi  Desa Wisata Bageng  adalah sebagai DTW penghasil Jeruk Pamelo yang terkenal manis dan besar.  Disamping itu juga terdapat Kopi Muria yang sangat nikmat untuk dinikmati dengan berbasis daerah agrowisata.
TLOGOPAKIS,Pekalongan Kabupaten,"    Kenditan Nasi Jagung, Nasi Hitam pembuatan alat pertanian tradisional, kerajinan dari bambu Kuda Lumping Desa Wisata Tlogopakis terletak di Kecamatan Petungkriyono Kabupaten Pekalongan. Berada pada ketinggian 1.000 MDPL kawasan desa wisata ini berhawa sejuk dengan pemandangan alam yang indah. Kekayaan flora dan fauna serta keanekaragaman hayati masih terjaga dengan baik di Hutan Petungkriyono ini. Nuansa pedesaan dan keramahan penduduk yang masih menjunjung tinggi adat istiadat juga menjadi daya tarik tersendiri bagi wisatawan. "
Kampung Batik Kauman,Pekalongan Kota,"  Batik (Workshop & Belanja)   Soto Taucho, Megono, Garang Asem, Nasi Berkat Batik tulis, Batik Cap, aneka produk batik (Tas, gordyn, Sprei, Taplak, sapu tangan dll) Terbang Genjring, Marawis, Kasidah Kampoeng Batik Kauman Pekalongan merupakan sebuah tujuan wisata budaya dan belanja yang berada di Kota Pekalongan provinsi Jawa Tengah. Secara geografis Kampoeng Batik Kauman Pekalongan sangatlah strategis karena berada dipusat kota Pekalongan yang sangat mudah diakses dari berbagai penjuru. Lokasi yang sangat mendukung untuk tujuan wisata belanja dan budaya bagi masyarakat lokal, nasional dan internasional.Secara Geografis Kampoeng Batik Kauman Pekalongan terletak pas ditengah tengah pulau jawa Indoneisa, yang sangat mudah diakses dari arah barat melalui Jakarta dengan Kereta atau pesawat udara. Sedangkan dari arah Timur mudah diakses baik dengan transportasi darat dan udara melaui surabaya, Jogja, Solo, Semarang dan lainnya."
Kampung Wisata Batik Pesindon,Pekalongan Kota,"  Wisata Batik (Workshop dan Belanja Batik)   Soto Taucho, Megono, Garang Asem, Nasi Berkat
 Batik tulis, Batik Cap, aneka produk batik (Tas, gordyn, Sprei, Taplak, sapu tangan dll) Kesenian Marawis, Kasidah Kampung Wisata Batik Pesindon di Jl Hayam Wuruk, Kelurahan Kergon, Kecamatan Pekalongan Barat, akhir-akhir ini, kerap menjadi jujukan studi bagi mahasiswa dari berbagai perguruan tinggi untuk kunjungan yang bersifat wisata, ada juga observasi. Kampung wisata batik Pesindon dibentuk dengan latar belakang kultur masyarakat yang sebagian besar terlibat dalam industri batik. Setelah terbentuk, kampung tersebut semakin ramai kunjungan yang berdampak pada peningkatan omzet penjualan."
Kampung Canting Landungsari,Pekalongan Kota,"  Wisata Canting (Workshop dan Belanja Canting Cap)      Sebagai Kota Batik, Pekalongan membutuhkan banyak perlengkapan/ alat membatik, khususnya canting. Landungsari adalah sentra pembuatan canting cap yang sudah dikenal di berbagai daerah. Berbagai macam motif dan bahan canting cap diproduksi di sini sesuai pesanan. Bahkan canting cap yang rusak atau tidak sempurna lagi kondisinya dapat diperbaiki atau diservice di sini. Kini Canting tidak hanya digunakan sebagai alat untuk membatik. Canting cap ternyata juga dapat dijadikan hiasan ekslusif yang menarik. Sehingga kini semakin banyak orang yang tertarik untuk memiliki canting cap produksi dari Landungsari."
Widuri,Pemalang,"Pantai Widuri  Widuri Water Park   Seafood, Kepala iKan Manyung  Ronda Tek - Tek Nama Widuri diambil dari legenda Nyi Widuri yang merupakan seorang wanita cantik jelita yang hidup di desa tersebut yakni sekarang dikenal dengan desa Widuri. Jika anda berada di ibukota Pemalang tepatnya di alun-alun kota Pemalang coba menghadap ke arah utara nantinya akan ada jalan lurus dari depan Kabupaten sampai ke pantai Widuri."
Sikasur,Pemalang,"Telaga Silating, Curug Bengkawan    Grebeg Nyadran   Jaran Ebeg, Karawitan, Ronda Tek - Tek Wisata Telaga Silating di Belik Pemalang Jawa Tengah adalah salah satu tempat wisata yang berada di desa sikasur,  kabupaten pemalang, provinsi jawa tengah, negara indonesia. Wisata Telaga Silating di Belik Pemalang Jawa Tengah adalah tempat wisata yang ramai dengan wisatawan pada hari biasa maupun hari liburan. Tempat ini sangat indah dan bisa memberikan sensasi yang berbeda dengan aktivitas kita sehari hari.
"
Blendung,Pemalang,"Pantai Blendung     Seafood  Karawitam\n Blendung adalah desa di kecamatan Ulujami, Pemalang, Jawa Tengah, Indonesia. Mayoritas penduduknya petani sawah dan petani tambak. Luas daratan 1/3 dari luas tambak dan sawah.
Saat ini Desa Blendung akan lebih maju dan terkenal karena memiliki Pantai Blendung yang merupakan salah satu obyek wisata bahari andalan Kabupaten Pemalang, namun masih dikelola secara konvensional, di mana orang-orang yang menjadi petugas adalah kepanjang tangan kepala desa, sehingga tata kelola terkesan tidak profesional"
Nyamplungsari,Pemalang,"Pantai Joko Tingkir      Seafood, Ikan segar   Wisata Pantai Joko Tingkir di Petarukan Pemalang Jawa Tengah adalah salah satu tempat wisata yang berada di Desa Nyamplungsari Kecamatan Petarukan Kabupaten Pemalang, Jawa Tengah, Indonesia. Wisata Pantai Joko Tingkir di Petarukan Pemalang Jawa Tengah adalah tempat wisata yang ramai dengan wisatawan pada hari biasa maupun hari liburan. Tempat ini sangat indah dan bisa memberikan sensasi yang  berbeda dengan aktivitas kita sehari hari."
